epoch,epoch_loss,lmi_loss,eta_loss
110,23224.434285498268,"tensor(-71.2582773, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
111,23134.09744198713,"tensor(-71.2587031, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
112,23329.447013435867,"tensor(-71.2589649, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
113,23218.121952142457,"tensor(-71.2592413, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
114,23200.094056533442,"tensor(-71.2594561, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
115,23356.61376339528,"tensor(-71.2598430, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
116,23192.12796789287,"tensor(-71.2600730, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
117,23142.45890567194,"tensor(-71.2603790, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
118,23140.51615539892,"tensor(-71.2605311, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
119,23251.198553895792,"tensor(-71.2608093, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
120,23162.461303037195,"tensor(-71.2609528, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
121,23145.648220981933,"tensor(-71.2609496, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
122,23170.622527160314,"tensor(-71.2611201, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
123,23142.34897259351,"tensor(-71.2612476, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
124,23152.038218845373,"tensor(-71.2613679, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
125,23180.19587258045,"tensor(-71.2616505, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
126,23137.13374120084,"tensor(-71.2617622, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
127,23151.725172606122,"tensor(-71.2620666, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
128,23276.335097630694,"tensor(-71.2625741, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
129,23208.38741545465,"tensor(-71.2626970, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
130,23125.35868263884,"tensor(-71.2629988, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
131,23148.91926722325,"tensor(-71.2629775, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
132,23127.05648098009,"tensor(-71.2631864, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
133,23195.114412386545,"tensor(-71.2634922, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
134,23122.098325053877,"tensor(-71.2635137, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
135,23120.19263420134,"tensor(-71.2635269, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
136,23141.12054566282,"tensor(-71.2635897, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
137,23121.080323437764,"tensor(-71.2636353, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
138,23119.485441492183,"tensor(-71.2636631, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
139,23168.4812941123,"tensor(-71.2637060, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
140,23130.95083746206,"tensor(-71.2637124, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
141,23236.097485398306,"tensor(-71.2640701, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
142,23172.916659290047,"tensor(-71.2643510, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
143,23161.262212649235,"tensor(-71.2642449, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
144,23180.643396229807,"tensor(-71.2644551, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
145,23171.67097332068,"tensor(-71.2647464, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
146,23124.545810543543,"tensor(-71.2647065, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
147,23134.20646308783,"tensor(-71.2648057, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
148,23119.130457554696,"tensor(-71.2648427, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
149,23186.862307331285,"tensor(-71.2648834, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
150,23180.995474455187,"tensor(-71.2651943, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
151,23120.909391469533,"tensor(-71.2652746, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
152,23130.02426412662,"tensor(-71.2653119, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
153,23149.869481883245,"tensor(-71.2654911, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
154,23205.11339304823,"tensor(-71.2658057, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
155,23119.176091905974,"tensor(-71.2658041, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
156,23132.479107344785,"tensor(-71.2657764, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
157,23160.458878374604,"tensor(-71.2657826, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
158,23162.440939009455,"tensor(-71.2659345, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
159,23143.959843994704,"tensor(-71.2662777, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
160,23129.77478306315,"tensor(-71.2662662, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
161,23190.299583121672,"tensor(-71.2663891, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
162,23131.37539594266,"tensor(-71.2667362, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
163,23117.67641461543,"tensor(-71.2667698, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
164,23117.9000401051,"tensor(-71.2667482, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
